Toode;Maht_ml;Protsent;Etanool;Etanool/€;Pood;Hind;Uuendatud;Link
Pirnisiider SHELTON'S 4.5% 500ml;500.0;4.5;22.5;15.101;Maxima;1.49;2025-11-12 05:46:00;https://ostukorvid.ee/tooted/6129e144-b677-4754-b698-923c60cda550/pirnisiider-sheltons-45percent-500ml
Somersby Pear siider 4,5% 4x500ml;2000.0;4.5;90.0;15.025;Coop;5.99;2025-11-12 05:46:00;https://ostukorvid.ee/tooted/1a2f3b7a-44cd-4ce1-a731-b6b45037a4a2/somersby-pear-siider-45percent-4x500ml
Somersby Pear siider 4,5% 4x500ml;2000.0;4.5;90.0;15.025;Selver;5.99;2025-11-12 03:46:00;https://ostukorvid.ee/tooted/1a2f3b7a-44cd-4ce1-a731-b6b45037a4a2/somersby-pear-siider-45percent-4x500ml
FIZZ ORIGINAL DRY CIDER 7,92 L SIIDER 4,7%;7920.0;4.7;372.24;14.955;Prisma;24.89;2025-04-16 14:45:00;https://ostukorvid.ee/tooted/ba64b597-b742-4937-92ca-e4772f605f1d/fizz-original-dry-cider-792-l-siider-47percent
FIZZ ORIGINAL DRY CIDER 7,92 L SIIDER 4,7%;7920.0;4.7;372.24;14.896;Kaupmees;24.99;2025-11-12 06:45:00;https://ostukorvid.ee/tooted/ba64b597-b742-4937-92ca-e4772f605f1d/fizz-original-dry-cider-792-l-siider-47percent
Siider Hoggy's Pear 4,5%vol 1l;1000.0;4.5;45.0;14.563;Rimi;3.09;2025-11-12 07:45:00;https://ostukorvid.ee/tooted/260ab09a-b2e6-4d29-9683-0c33dab69aea/siider-hoggys-pear-45percentvol-1l
Siider Hoggy's Apple 4,5%vol 1l;1000.0;4.5;45.0;14.563;Rimi;3.09;2025-11-12 07:47:00;https://ostukorvid.ee/tooted/5712e8bb-cb04-40b6-9a55-c74352f5f0c5/siider-hoggys-apple-45percentvol-1l
Siider pirni HOGGY'S 4.5% 1l pet;1000.0;4.5;45.0;14.563;Maxima;3.09;2025-11-12 05:48:00;https://ostukorvid.ee/tooted/5b199306-766c-49ba-b253-d2498de14df6/siider-pirni-hoggys-45percent-1l-pet
Siider HOGGY'S õuna 4.5%1L pet;1000.0;4.5;45.0;14.563;Maxima;3.09;2025-11-12 05:49:00;https://ostukorvid.ee/tooted/58be49cc-79f1-4c2e-81c5-1bbaaae1a45c/siider-hoggys-ouna-45percent1l-pet
Siider HOGGY'S Hard 5.5% 500ml prk;500.0;5.5;27.5;14.55;Maxima;1.89;2025-11-12 05:50:00;https://ostukorvid.ee/tooted/4d781d9b-400e-4068-9d2f-c3fff491df63/siider-hoggys-hard-55percent-500ml-prk
Hoggys Dry Apple siider 4.5% vol 12*0.355L;4260.0;4.5;191.7;14.327;Hinnapomm;13.38;2025-11-12 07:47:00;https://ostukorvid.ee/tooted/ab5a1272-7380-4728-8d13-a2f25ee59a39/hoggys-dry-apple-siider-45percent-vol-120355l
Somersby Blackberry siider 4.5% 1L;1000.0;4.5;45.0;14.286;Selver;3.15;2024-03-22 14:50:00;https://ostukorvid.ee/tooted/a9d548e2-b930-48fa-9a58-fa18e8096bd6/somersby-blackberry-siider-45percent-1l
FIZZ Siider Pear Splash 4,5% 33cl-24-pakk (purk, kohver);7920.0;4.5;356.4;14.262;Kaupmees;24.99;2025-11-12 05:48:00;https://ostukorvid.ee/tooted/0ecfc104-b394-4059-b7a4-383e90770e78/fizz-siider-pear-splash-45percent-33cl-24-pakk-purk-kohver
Somersby Pear siider 4,5% 4x500ml;2000.0;4.5;90.0;14.085;Prisma;6.39;2023-10-24 14:46:00;https://ostukorvid.ee/tooted/1a2f3b7a-44cd-4ce1-a731-b6b45037a4a2/somersby-pear-siider-45percent-4x500ml
Siider SOMERSBY ananass&laim 4.5%1L;1000.0;4.5;45.0;13.889;Maxima;3.24;2025-11-12 05:45:00;https://ostukorvid.ee/tooted/65d631dd-b39b-412b-b527-4ed05e5b96aa/siider-somersby-ananassandlaim-45percent1l
