Toode;Maht_ml;Protsent;Etanool;Etanool/€;Pood;Hind;Uuendatud;Link
Siider Henry WESTONS Vint. 8.2% 0.5l pdl;500.0;8.2;41.0;8.742;Maxima;4.69;2025-11-12 05:48:00;https://ostukorvid.ee/tooted/d02ff6a3-ca69-4161-a4b4-881a594436f1/siider-henry-westons-vint-82percent-05l-pdl
Somersby Apple siider 4.5% 0.33L;330.0;4.5;14.85;8.534;Kaupmees;1.74;2025-11-12 05:46:00;https://ostukorvid.ee/tooted/7f1686d6-0e08-403e-b0fb-dc6d85d84084/somersby-apple-siider-45percent-033l
Somersby Apple siider 4.5% 0.33L;330.0;4.5;14.85;8.486;Prisma;1.75;2025-04-16 14:46:00;https://ostukorvid.ee/tooted/7f1686d6-0e08-403e-b0fb-dc6d85d84084/somersby-apple-siider-45percent-033l
CHAPLIN & CORK'S Siider Somerset Vintage 8,2% 50cl (klaas);500.0;8.2;41.0;8.419;Kaupmees;4.87;2025-11-12 06:45:00;https://ostukorvid.ee/tooted/9426b657-29a5-43bf-9e45-fafd947b31ac/chaplin-and-corks-siider-somerset-vintage-82percent-50cl-klaas
WESTONS Siider British Vintage Medium Dry 7,3% 50cl (klaas);500.0;7.3;36.5;8.391;Kaupmees;4.35;2025-11-12 05:47:00;https://ostukorvid.ee/tooted/51b4ac49-6c01-4a08-a4e3-a235d9c73be8/westons-siider-british-vintage-medium-dry-73percent-50cl-klaas
Siider Henry Weston Vintage Cider 8,2%vol 0,5l;500.0;8.2;41.0;8.384;Rimi;4.89;2025-11-12 08:49:00;https://ostukorvid.ee/tooted/e74abac9-9b66-4799-90d1-c967310d7700/siider-henry-weston-vintage-cider-82percentvol-05l
Stowford Press medium dry siider 4,5%;500.0;4.5;22.5;8.364;Prisma;2.69;2025-04-16 14:49:00;https://ostukorvid.ee/tooted/c8c39dd8-b7f2-44ff-99e1-f63e8e15e83b/stowford-press-medium-dry-siider-45percent
Sheppy's Organic siider 6%, 500 ml;500.0;6.0;30.0;8.357;Prisma;3.59;2025-04-16 14:45:00;https://ostukorvid.ee/tooted/3f7c9413-4424-4942-8519-d6489271552f/sheppys-organic-siider-6percent-500-ml
Siider Henry Westons British Vintage 7,3%vol 0,75l pdl;750.0;7.3;54.75;7.833;Rimi;6.99;2025-11-12 07:48:00;https://ostukorvid.ee/tooted/7db7d5ae-6cbc-4797-9b49-af3dc27dab0c/siider-henry-westons-british-vintage-73percentvol-075l-pdl
WESTONS Siider British Vintage Medium Dry 7,3% 50cl (klaas);500.0;7.3;36.5;7.816;Selver;4.67;2025-11-12 03:47:00;https://ostukorvid.ee/tooted/51b4ac49-6c01-4a08-a4e3-a235d9c73be8/westons-siider-british-vintage-medium-dry-73percent-50cl-klaas
Sheppy's Organic siider 6%, 500 ml;500.0;6.0;30.0;7.812;Kaupmees;3.84;2025-11-12 06:45:00;https://ostukorvid.ee/tooted/3f7c9413-4424-4942-8519-d6489271552f/sheppys-organic-siider-6percent-500-ml
Stowford Press medium dry siider 4,5%;500.0;4.5;22.5;7.785;Coop;2.89;2025-11-12 05:49:00;https://ostukorvid.ee/tooted/c8c39dd8-b7f2-44ff-99e1-f63e8e15e83b/stowford-press-medium-dry-siider-45percent
Siider ABAVAS Nordic Õun poolkuiv6%330ml;330.0;6.0;19.8;7.765;Maxima;2.55;2025-11-12 05:48:00;https://ostukorvid.ee/tooted/952c5d51-142b-4772-ba6b-a28dd7d5898c/siider-abavas-nordic-oun-poolkuiv6percent330ml
Siider Saku Antvärk Paljas Õun 4,5%vol 0,33l pudel;330.0;4.5;14.85;7.615;Rimi;1.95;2025-11-12 08:46:00;https://ostukorvid.ee/tooted/a3c4fdad-c149-450d-a3e1-d6c1f433e2e7/siider-saku-antvark-paljas-oun-45percentvol-033l-pudel
KOPPARBERG Siider Premium Pirni 4,5% 33cl (klaas);330.0;4.5;14.85;7.615;Kaupmees;1.95;2025-11-12 05:48:00;https://ostukorvid.ee/tooted/c1c49878-3b33-49e7-bbd8-6ed4a7fe0cbc/kopparberg-siider-premium-pirni-45percent-33cl-klaas
MAGNERS Siider Dark Fruit 4% 44cl (purk);440.0;4.0;17.6;7.554;Kaupmees;2.33;2025-11-12 06:46:00;https://ostukorvid.ee/tooted/bd6e6365-4206-472d-925a-e915c645b852/magners-siider-dark-fruit-4percent-44cl-purk
Jaanihanso Dry Naturel siider 5,5%vol 330ml;330.0;5.5;18.15;7.5;Kaupmees;2.42;2025-11-12 05:49:00;https://ostukorvid.ee/tooted/d2c0325e-c7d9-426e-a3d3-b49c70f860f3/jaanihanso-dry-naturel-siider-55percentvol-330ml
JAANIHANSO Siider Sweet Naturel 5,5% 33cl (purk, magus);330.0;5.5;18.15;7.5;Kaupmees;2.42;2025-11-12 06:49:00;https://ostukorvid.ee/tooted/46f3ce33-548a-41ee-8697-3eb1cd220822/jaanihanso-siider-sweet-naturel-55percent-33cl-purk-magus
JAANIHANSO Siider Quince Naturel 5,5% 33cl (purk, poolkuiv);330.0;5.5;18.15;7.5;Kaupmees;2.42;2025-11-12 06:50:00;https://ostukorvid.ee/tooted/9d2a6ceb-f803-4b7d-aa2d-fb83c9f5b223/jaanihanso-siider-quince-naturel-55percent-33cl-purk-poolkuiv
JAANIHANSO Siider Hopped Naturel 5,5% 33cl (purk, kuiv, öko);330.0;5.5;18.15;7.5;Kaupmees;2.42;2025-11-12 05:50:00;https://ostukorvid.ee/tooted/14ba5b55-f797-48c5-9fa0-350162a9143c/jaanihanso-siider-hopped-naturel-55percent-33cl-purk-kuiv-oko
SAKU Siider Antvärk Paljas Õun 4,5% 15l (vaat);15000.0;4.5;675.0;7.462;Kaupmees;90.46;2025-11-12 05:46:00;https://ostukorvid.ee/tooted/c6dcb98f-891f-4acf-91c4-fecd3e937cad/saku-siider-antvark-paljas-oun-45percent-15l-vaat
Kopparberg Strawberry-Lime Gin&Lemonade siider 5%vol 250ml;250.0;5.0;12.5;7.396;Kaupmees;1.69;2025-11-12 05:46:00;https://ostukorvid.ee/tooted/5577c238-548d-4c6f-b2bd-30dc31d90fa1/kopparberg-strawberry-lime-ginandlemonade-siider-5percentvol-250ml
Kopparberg Mixed Fruit Gin&Lemonade siider 5%vol 250ml;250.0;5.0;12.5;7.396;Kaupmees;1.69;2025-11-12 06:49:00;https://ostukorvid.ee/tooted/76d949ab-2ce7-4ecb-b876-dcec531d90ef/kopparberg-mixed-fruit-ginandlemonade-siider-5percentvol-250ml
KOPPARBERG Siider Strawberry&Lime 4,5% 33cl (purk);330.0;4.5;14.85;7.388;Kaupmees;2.01;2025-11-12 05:47:00;https://ostukorvid.ee/tooted/06ad8ab7-e1be-4316-a864-97e66055168e/kopparberg-siider-strawberryandlime-45percent-33cl-purk
MULL Õunasiider strong vegan 8% 33cl (kuiv, pudel);330.0;8.0;26.4;7.273;Kaupmees;3.63;2025-11-12 06:49:00;https://ostukorvid.ee/tooted/bee3dad9-dbc6-4103-b2a7-e445b95120eb/mull-ounasiider-strong-vegan-8percent-33cl-kuiv-pudel
Mull õunasiider 5,5%vol 330ml;330.0;5.5;18.15;7.118;Kaupmees;2.55;2025-11-12 05:47:00;https://ostukorvid.ee/tooted/54c90622-1d13-4d11-b069-2df530ce6e97/mull-ounasiider-55percentvol-330ml
Mull poolkuiv siider 5,5%vol 330ml;330.0;5.5;18.15;7.118;Kaupmees;2.55;2025-11-12 05:49:00;https://ostukorvid.ee/tooted/0f6124c3-37d1-44e6-860d-470ab401cd64/mull-poolkuiv-siider-55percentvol-330ml
KOPPARBERG Siider Premium Õuna 4,5% 33cl (klaas);330.0;4.5;14.85;6.812;Kaupmees;2.18;2025-11-12 05:46:00;https://ostukorvid.ee/tooted/521b83d5-28da-4c69-9eef-aff9b77280cf/kopparberg-siider-premium-ouna-45percent-33cl-klaas
KOPPARBERG Siider Mixed Fruit 4% 33cl (purk);330.0;4.0;13.2;6.567;Kaupmees;2.01;2025-11-12 06:47:00;https://ostukorvid.ee/tooted/9dde79f9-7b5d-470f-9e3a-9c2b6c69494a/kopparberg-siider-mixed-fruit-4percent-33cl-purk
Siider ABAVAS Nordic Flor.poolk.5%330ml;330.0;5.0;16.5;6.471;Maxima;2.55;2025-11-12 05:48:00;https://ostukorvid.ee/tooted/c4ffe35a-faac-42f1-bb63-ed0f4b7a1b45/siider-abavas-nordic-florpoolk5percent330ml
Siider ABAVAS Greip poolkuiv 5% 330ml;330.0;5.0;16.5;6.471;Maxima;2.55;2025-11-12 05:50:00;https://ostukorvid.ee/tooted/e24b7a1f-1330-4f03-815c-24d5478a99e9/siider-abavas-greip-poolkuiv-5percent-330ml
Sheppys Original Cloudy Cider 4.5% 0.5L;500.0;4.5;22.5;6.447;Coop;3.49;2021-12-03 14:50:00;https://ostukorvid.ee/tooted/c96dd56e-620b-4f26-9025-3e62ca9bc07d/sheppys-original-cloudy-cider-45percent-05l
Sheppys Original Cloudy Cider 4.5% 0.5L;500.0;4.5;22.5;6.267;Prisma;3.59;2025-04-16 14:50:00;https://ostukorvid.ee/tooted/c96dd56e-620b-4f26-9025-3e62ca9bc07d/sheppys-original-cloudy-cider-45percent-05l
Mull õunasiider 5,5%vol 330ml;330.0;5.5;18.15;6.07;Prisma;2.99;2025-04-16 14:47:00;https://ostukorvid.ee/tooted/54c90622-1d13-4d11-b069-2df530ce6e97/mull-ounasiider-55percentvol-330ml
VALDERANCE Siider Bretagne Brut 4,5% 75cl (valge, kuiv, klaas);750.0;4.5;33.75;6.07;Kaupmees;5.56;2025-11-12 05:47:00;https://ostukorvid.ee/tooted/aab3bbcd-baec-4ed6-ade4-bef9bf52e2d5/valderance-siider-bretagne-brut-45percent-75cl-valge-kuiv-klaas
Mull poolkuiv siider 5,5%vol 330ml;330.0;5.5;18.15;6.07;Prisma;2.99;2025-04-16 14:49:00;https://ostukorvid.ee/tooted/0f6124c3-37d1-44e6-860d-470ab401cd64/mull-poolkuiv-siider-55percentvol-330ml
Siider HENRY WESTONS Vin.Ros. 5.5% 500ml;500.0;5.5;27.5;5.991;Maxima;4.59;2025-11-12 05:46:00;https://ostukorvid.ee/tooted/0a445f2d-3602-471c-98c8-d563a77a3064/siider-henry-westons-vinros-55percent-500ml
Siider Abavas Grapefruit 5%vol 0,33l purk;330.0;5.0;16.5;5.914;Rimi;2.79;2025-11-12 07:49:00;https://ostukorvid.ee/tooted/00b6cdab-3b11-42b0-acca-433adfdc8088/siider-abavas-grapefruit-5percentvol-033l-purk
Siider Abavas Nordic Floral 5%vol 0,33l purk;330.0;5.0;16.5;5.914;Rimi;2.79;2025-11-12 07:50:00;https://ostukorvid.ee/tooted/0da98cb5-7528-43b7-b1cf-83be62d5372d/siider-abavas-nordic-floral-5percentvol-033l-purk
Sheppys Original Cloudy Cider 4.5% 0.5L;500.0;4.5;22.5;5.859;Kaupmees;3.84;2025-11-12 05:50:00;https://ostukorvid.ee/tooted/c96dd56e-620b-4f26-9025-3e62ca9bc07d/sheppys-original-cloudy-cider-45percent-05l
Kopparberg Strawberry-Lime Gin&Lemonade siider 5%vol 250ml;250.0;5.0;12.5;5.708;Prisma;2.19;2025-04-16 14:46:00;https://ostukorvid.ee/tooted/5577c238-548d-4c6f-b2bd-30dc31d90fa1/kopparberg-strawberry-lime-ginandlemonade-siider-5percentvol-250ml
Kopparberg Mixed Fruit Gin&Lemonade siider 5%vol 250ml;250.0;5.0;12.5;5.708;Prisma;2.19;2025-04-16 14:49:00;https://ostukorvid.ee/tooted/76d949ab-2ce7-4ecb-b876-dcec531d90ef/kopparberg-mixed-fruit-ginandlemonade-siider-5percentvol-250ml
Jaanihanso Dry Naturel siider 5,5%vol 330ml;330.0;5.5;18.15;5.434;Prisma;3.34;2025-04-16 14:49:00;https://ostukorvid.ee/tooted/d2c0325e-c7d9-426e-a3d3-b49c70f860f3/jaanihanso-dry-naturel-siider-55percentvol-330ml
COQUEREL Siider Brut 4,5% 75cl (kuiv, klaas);750.0;4.5;33.75;5.366;Kaupmees;6.29;2025-11-12 06:48:00;https://ostukorvid.ee/tooted/74d5dc07-05d0-4413-abb0-9073a85db077/coquerel-siider-brut-45percent-75cl-kuiv-klaas
Sheppys Raspberry Cider 4% 0.5L;500.0;4.0;20.0;5.277;Coop;3.79;2021-12-03 14:48:00;https://ostukorvid.ee/tooted/bf6d6b81-0a3d-48ab-b61d-99f8928ef646/sheppys-raspberry-cider-4percent-05l
Sheppys Raspberry Cider 4% 0.5L;500.0;4.0;20.0;5.141;Prisma;3.89;2022-10-29 14:48:00;https://ostukorvid.ee/tooted/bf6d6b81-0a3d-48ab-b61d-99f8928ef646/sheppys-raspberry-cider-4percent-05l
Siider Brothers Raspberry & Blackberry 4%vol 0,5l pudel;500.0;4.0;20.0;5.013;Rimi;3.99;2025-11-12 07:50:00;https://ostukorvid.ee/tooted/9f723104-3ec3-4c71-b16d-20600d31f23e/siider-brothers-raspberry-and-blackberry-4percentvol-05l-pudel
Sheppys Raspberry Cider 4% 0.5L;500.0;4.0;20.0;4.819;Kaupmees;4.15;2025-11-12 05:48:00;https://ostukorvid.ee/tooted/bf6d6b81-0a3d-48ab-b61d-99f8928ef646/sheppys-raspberry-cider-4percent-05l
